term_status,section,title,instructor,schedule,term
24SOpen,ACCT 6202.501,Accounting for Managerial Decision Making and Control  (2 Semester Credit Hours),Zhonglan Dai,Wednesday 5:00pm - 6:50pm JSOM 1.217,24s
24SOpen,ACCT 6301.0w1,Financial Accounting  (3 Semester Credit Hours),Ashiq Ali,No Meeting Room,24s
24SOpen,ACCT 6301.501,Financial Accounting  (3 Semester Credit Hours),Gregory Ballew,Thursday 7:00pm - 9:45pm JSOM 2.106,24s
24SOpen,ACCT 6305.001,Accounting for Managers  (3 Semester Credit Hours),Tae Wook Kim,Wednesday 1:00pm - 3:45pm JSOM 2.801,24s
24SOpen,ACCT 6305.002,Accounting for Managers  (3 Semester Credit Hours),Tae Wook Kim,Monday 1:00pm - 3:45pm JSOM 2.903,24s
24SOpen,ACCT 6305.501,Accounting for Managers  (3 Semester Credit Hours),Tae Wook Kim,Tuesday 7:00pm - 9:45pm JSOM 2.904,24s
24SFull,ACCT 6309.001,Business Data Warehousing  (3 Semester Credit Hours),Naser Islam,Thursday 1:00pm - 3:45pm JSOM 2.722,24s
24SOpen,ACCT 6309.0w1,Business Data Warehousing  (3 Semester Credit Hours),Naser Islam,No Meeting Room,24s
24SOpen,ACCT 6309.501,Business Data Warehousing  (3 Semester Credit Hours),Naser Islam,Tuesday 7:00pm - 9:45pm JSOM 2.722,24s
24SOpen,ACCT 6309.502,Business Data Warehousing  (3 Semester Credit Hours),Wael Damra,Friday 7:00pm - 9:45pm JSOM 1.107,24s
24SOpen,ACCT 6313.001,Cybersecurity Fundamentals  (3 Semester Credit Hours),Mohammad Islam,Friday 4:00pm - 6:45pm JSOM 2.103,24s
24SOpen,ACCT 6313.0w1,Cybersecurity Fundamentals  (3 Semester Credit Hours),Huseyin Cavusoglu,No Meeting Room,24s
24SOpen,ACCT 6313.501,Cybersecurity Fundamentals  (3 Semester Credit Hours),Alex Ivaschenko,Friday 7:00pm - 9:45pm JSOM 12.202,24s
24SOpen,ACCT 6320.0w1,Database Foundations  (3 Semester Credit Hours),Huseyin Cavusoglu,No Meeting Room,24s
24SOpen,ACCT 6330.501,Intermediate Financial Accounting I  (3 Semester Credit Hours),William Cready,Thursday 7:00pm - 9:45pm JSOM 2.112,24s
24SOpen,ACCT 6331.5w1,Cost Accounting  Foundations and Evolutions  (3 Semester Credit Hours),Surya Janakiraman,Wednesday 7:00pm - 9:45pm No Meeting Room,24s
24SOpen,ACCT 6332.5w1,Intermediate Financial Accounting II  (3 Semester Credit Hours),Kathy Zolton,Monday & Wednesday 5:30pm - 6:45pm No Meeting Room,24s
24SOpen,ACCT 6333.501,Advanced Financial Reporting  (3 Semester Credit Hours),Kathy Zolton,Monday 7:00pm - 9:45pm JSOM 11.202,24s
24SOpen,ACCT 6335.0w1,Ethics for Professional Accountants  (3 Semester Credit Hours),Tiffany Bortz,No Meeting Room,24s
