School,School_Code,Professor_Name,Title,Department,Profile_URL,RMP_URL,Research_Areas,Tags
"Harry W. Bass Jr. School of Arts, Humanities, and Technology",AHT,Rosemary Admiral,Associate Professor,,https://profiles.utdallas.edu/rosemary.admiral,https://www.ratemyprofessors.com/search/professors/1273?q=Rosemary%20Admiral,,HIST | RELS
"Harry W. Bass Jr. School of Arts, Humanities, and Technology",AHT,Ali Asgar Alibhai,Assistant Professor — Art History,,https://profiles.utdallas.edu/aliasgar.alibhai,https://www.ratemyprofessors.com/search/professors/1273?q=Ali%20Asgar%20Alibhai,,AHST | VPAS | EODIAH
"Harry W. Bass Jr. School of Arts, Humanities, and Technology",AHT,Diego Alins Breda,Assistant Professor of Instruction,,https://profiles.utdallas.edu/diego.alinsbreda,https://www.ratemyprofessors.com/search/professors/1273?q=Diego%20Alins%20Breda,,LIT | SPAN | LITandLANG
"Harry W. Bass Jr. School of Arts, Humanities, and Technology",AHT,Andy Amato,Professor of Instruction — Philosophy,,https://profiles.utdallas.edu/andy.amato,https://www.ratemyprofessors.com/search/professors/1273?q=Andy%20Amato,,Ethics | Continental Philosophy | Aesthetics | PHIL | RELS
"Harry W. Bass Jr. School of Arts, Humanities, and Technology",AHT,Zafar Anjum,Associate Professor of Instruction,,https://profiles.utdallas.edu/zanjum,https://www.ratemyprofessors.com/search/professors/1273?q=Zafar%20Anjum,,HUMA | ARAB | LANG | RELS | LITandLANG
"Harry W. Bass Jr. School of Arts, Humanities, and Technology",AHT,Artem Arutyunyan,Lecturer I,,https://profiles.utdallas.edu/artem.arutyunyan,https://www.ratemyprofessors.com/search/professors/1273?q=Artem%20Arutyunyan,,MUSI | VPAS
"Harry W. Bass Jr. School of Arts, Humanities, and Technology",AHT,Danielle M Avram,Assistant Professor of Instruction — Contemporary Gallery and Exhibition Studies,,https://profiles.utdallas.edu/daniellem.avram,https://www.ratemyprofessors.com/search/professors/1273?q=Danielle%20M%20Avram,,Emerging Media Art | ARTS | VPAS | SP/N Gallery | Design & Creative Practice | ATCM
"Harry W. Bass Jr. School of Arts, Humanities, and Technology",AHT,Mary Carol Bagley,Lecturer I,Arts Humanities & Technology,https://profiles.utdallas.edu/marycarol.bagley,https://www.ratemyprofessors.com/search/professors/1273?q=Mary%20Carol%20Bagley,,RHET
"Harry W. Bass Jr. School of Arts, Humanities, and Technology",AHT,Barbara Baker,Assistant Professor of Instruction,,https://profiles.utdallas.edu/barbara.baker,https://www.ratemyprofessors.com/search/professors/1273?q=Barbara%20Baker,,Communication Studies | FilmTheory and Criticism | Rhetorical Theory and Criticism | Gender Race and Class in Communication | Critical Pedagogy | Interpersonal Communication | COMM | VPAS
"Harry W. Bass Jr. School of Arts, Humanities, and Technology",AHT,Anne Balsamo,Arts and Humanities Distinguished University Chair | Professor,,https://profiles.utdallas.edu/anne.balsamo,https://www.ratemyprofessors.com/search/professors/1273?q=Anne%20Balsamo,,Emerging Media Art | Art & Science | Communication & Culture | Critical Media Studies | Design & Creative Practice | ATCM | ATECPhD
"Harry W. Bass Jr. School of Arts, Humanities, and Technology",AHT,Charles Bambach,Professor,,https://profiles.utdallas.edu/charles.bambach,https://www.ratemyprofessors.com/search/professors/1273?q=Charles%20Bambach,"Hermeneutics, contemporary continental philosophy, 19th & 20th-century European intellectual history and philosophy | Philosophy and Poetry in Dialogue | History of Hermeneutics | Contemporary Continental Philosophy | Ethics in Continental Philosophy | Interdisciplinary Approaches to the Humanities | History of Philosophy: Greeks and Modern Period | Philosophy and the University in Europe | Contemporary French Philosophy and Literary Theory | Aesthetics | Environmental Philosophy | Philosophy and Poetry | Justice, Dike, and Gerechtigkeit: Translating the Metaphysics of Dwelling | The Hermeneutical Tradition from the Romantics to Heidegger | Philosophy and the German University, 1810-1945 | Translation and Philosophy of Language: Benjamin, Nietzsche, Hölderlin | Nietzsche and the Early Greeks",PHIL | IDEA
"Harry W. Bass Jr. School of Arts, Humanities, and Technology",AHT,Hwaja Bang,Lecturer I,,https://profiles.utdallas.edu/hwaja.bang,https://www.ratemyprofessors.com/search/professors/1273?q=Hwaja%20Bang,,LANG | KORE
"Harry W. Bass Jr. School of Arts, Humanities, and Technology",AHT,Ashley Barnes,Associate Professor — Literature,,https://profiles.utdallas.edu/ashley.barnes,https://www.ratemyprofessors.com/search/professors/1273?q=Ashley%20Barnes,,Nineteenth-century American Literature | Literary Ethics | Secularism | LIT | History of literary criticism | Religion and literature | LITandLANG
"Harry W. Bass Jr. School of Arts, Humanities, and Technology",AHT,Isi Barreiro,Assistant Professor of Instruction — Design + Creative Practice,,https://profiles.utdallas.edu/isi.barreiro,https://www.ratemyprofessors.com/search/professors/1273?q=Isi%20Barreiro,,Design & Creative Practice | ATCM
"Harry W. Bass Jr. School of Arts, Humanities, and Technology",AHT,Kris Behr,Lecturer I,Arts Humanities & Technology,https://profiles.utdallas.edu/kris.behr,https://www.ratemyprofessors.com/search/professors/1273?q=Kris%20Behr,,ATCM
"Harry W. Bass Jr. School of Arts, Humanities, and Technology",AHT,Jason M. Bennett,Lecturer I,Arts Humanities & Technology,https://profiles.utdallas.edu/jason.bennett2,https://www.ratemyprofessors.com/search/professors/1273?q=Jason%20M.%20Bennett,,
"Harry W. Bass Jr. School of Arts, Humanities, and Technology",AHT,Rodger Bennett,Lecturer I,,https://profiles.utdallas.edu/rodger.bennett,https://www.ratemyprofessors.com/search/professors/1273?q=Rodger%20Bennett,,MUSI | VPAS
"Harry W. Bass Jr. School of Arts, Humanities, and Technology",AHT,Hanno Berger,"Miriam Lewis Barnett Chair for studies related to the Holocaust, genocide and human rights | Assistant Professor — Film Studies",,https://profiles.utdallas.edu/hanno.berger,https://www.ratemyprofessors.com/search/professors/1273?q=Hanno%20Berger,,FILM | VPAS
"Harry W. Bass Jr. School of Arts, Humanities, and Technology",AHT,Steven Billingslea,Lecturer I,Arts Humanities & Technology,https://profiles.utdallas.edu/steven.billingslea,https://www.ratemyprofessors.com/search/professors/1273?q=Steven%20Billingslea,,Animation & Games | Virtual Reality | ATCM
"Harry W. Bass Jr. School of Arts, Humanities, and Technology",AHT,Kristin Bocchine,Lecturer I,Arts Humanities & Technology,https://profiles.utdallas.edu/kristin.bocchine,https://www.ratemyprofessors.com/search/professors/1273?q=Kristin%20Bocchine,,Humanities | HIST
"Harry W. Bass Jr. School of Arts, Humanities, and Technology",AHT,Imane Boussouga,Teaching Assistant,,https://profiles.utdallas.edu/imane.boussouga,https://www.ratemyprofessors.com/search/professors/1273?q=Imane%20Boussouga,,LANG | FREN
"Harry W. Bass Jr. School of Arts, Humanities, and Technology",AHT,Jiajun Bracewell,Lecturer I,,https://profiles.utdallas.edu/jiajun.bracewell,https://www.ratemyprofessors.com/search/professors/1273?q=Jiajun%20Bracewell,,JAPN
"Harry W. Bass Jr. School of Arts, Humanities, and Technology",AHT,Tiffany Bragg,Visiting Assistant Professor — History,,https://profiles.utdallas.edu/tiffany.bragg,https://www.ratemyprofessors.com/search/professors/1273?q=Tiffany%20Bragg,,HIST
"Harry W. Bass Jr. School of Arts, Humanities, and Technology",AHT,Mike Bromberg,Lecturer I,,https://profiles.utdallas.edu/mike.bromberg,https://www.ratemyprofessors.com/search/professors/1273?q=Mike%20Bromberg,,COMM | VPAS
"Harry W. Bass Jr. School of Arts, Humanities, and Technology",AHT,Jessie Budd,Lecturer I,,https://profiles.utdallas.edu/jessie.budd,https://www.ratemyprofessors.com/search/professors/1273?q=Jessie%20Budd,,Design & Creative Practice | ATCM
"Harry W. Bass Jr. School of Arts, Humanities, and Technology",AHT,Xtine Burrough,Professor,,https://profiles.utdallas.edu/xtine,https://www.ratemyprofessors.com/search/professors/1273?q=Xtine%20Burrough,,Design & Technology | Emerging Media Art | Communication & Culture | Design & Creative Practice | ATCM | ATECPhD
"Harry W. Bass Jr. School of Arts, Humanities, and Technology",AHT,Mehak Burza,Program Manager II,Ackerman Center,https://profiles.utdallas.edu/mehak.burza,https://www.ratemyprofessors.com/search/professors/1273?q=Mehak%20Burza,,Minor in Asian Studies
"Harry W. Bass Jr. School of Arts, Humanities, and Technology",AHT,Joey Cade (she/her),Assist. Prof. of Practice,Animation & Games,https://profiles.utdallas.edu/joey.cade,https://www.ratemyprofessors.com/search/professors/1273?q=Joey%20Cade%20%28she/her%29,,Animation & Games | VFX | Producing | Creative Project Development | Studio Management | Executive Producing | IP Development | Publishing & Distribution | Flim
"Harry W. Bass Jr. School of Arts, Humanities, and Technology",AHT,Bryon Caldwell,Associate Professor of Instruction,,https://profiles.utdallas.edu/bryon.caldwell,https://www.ratemyprofessors.com/search/professors/1273?q=Bryon%20Caldwell,,Animation & Games | Games Development | Visual Effects | Animation | 3D Animation | VFX
"Harry W. Bass Jr. School of Arts, Humanities, and Technology",AHT,Cheryl Callon,Lecturer I,,https://profiles.utdallas.edu/cheryl.callon,https://www.ratemyprofessors.com/search/professors/1273?q=Cheryl%20Callon,,DANC | VPAS
